player_id,name,position,nfl_team,bye_week,proj_points,proj_stdev,adp
SAMPLE37,RB Player 13,RB,FA,9,139.9,44.9,48.3
SAMPLE18,QB Player 18,QB,FA,13,137.7,40.5,45.3
SAMPLE96,WR Player 12,WR,FA,8,137.7,38.6,45.5
SAMPLE158,TE Player 4,TE,FA,14,136.6,26.8,50.7
SAMPLE97,WR Player 13,WR,FA,14,136.0,39.3,47.4
SAMPLE159,TE Player 5,TE,FA,7,133.7,28.3,48.2
SAMPLE38,RB Player 14,RB,FA,14,132.4,45.8,54.1
SAMPLE160,TE Player 6,TE,FA,14,131.5,29.8,44.9
SAMPLE39,RB Player 15,RB,FA,11,131.1,46.8,59.7
SAMPLE19,QB Player 19,QB,FA,10,130.6,41.8,50.7
SAMPLE20,QB Player 20,QB,FA,11,130.3,43.0,57.0
SAMPLE98,WR Player 14,WR,FA,11,125.5,40.0,51.6
SAMPLE161,TE Player 7,TE,FA,11,125.0,31.2,57.6
SAMPLE99,WR Player 15,WR,FA,5,124.6,40.7,57.5
SAMPLE199,DEF Player 1,DEF,FA,10,124.2,13.0,60.2
SAMPLE179,K Player 1,K,FA,12,123.7,9.8,68.6
SAMPLE40,RB Player 16,RB,FA,12,123.2,47.7,58.6
SAMPLE21,QB Player 21,QB,FA,8,122.5,44.2,54.7
SAMPLE180,K Player 2,K,FA,9,121.0,10.5,62.9
SAMPLE41,RB Player 17,RB,FA,5,120.9,48.6,63.0
SAMPLE200,DEF Player 2,DEF,FA,14,120.2,14.0,64.7
SAMPLE42,RB Player 18,RB,FA,7,119.6,49.5,69.9
SAMPLE100,WR Player 16,WR,FA,10,119.6,41.4,71.2
SAMPLE162,TE Player 8,TE,FA,5,119.5,32.7,65.5
SAMPLE181,K Player 3,K,FA,14,118.2,11.2,66.7
SAMPLE163,TE Player 9,TE,FA,11,117.7,34.1,63.4
SAMPLE101,WR Player 17,WR,FA,12,116.7,42.1,66.3
SAMPLE22,QB Player 22,QB,FA,9,115.2,45.5,68.0
SAMPLE201,DEF Player 3,DEF,FA,6,115.2,15.0,71.5
SAMPLE164,TE Player 10,TE,FA,12,112.8,35.6,65.3
SAMPLE43,RB Player 19,RB,FA,13,112.3,50.4,69.5
SAMPLE23,QB Player 23,QB,FA,14,112.2,46.8,66.8
SAMPLE203,DEF Player 5,DEF,FA,14,112.0,17.0,70.5
SAMPLE24,QB Player 24,QB,FA,11,109.6,48.0,73.0
SAMPLE202,DEF Player 4,DEF,FA,10,109.4,16.0,87.8
SAMPLE182,K Player 4,K,FA,10,109.2,12.0,72.2
SAMPLE102,WR Player 18,WR,FA,5,109.0,42.9,66.6
SAMPLE103,WR Player 19,WR,FA,13,108.8,43.6,76.9
SAMPLE165,TE Player 11,TE,FA,14,108.8,37.0,88.7
SAMPLE183,K Player 5,K,FA,14,108.0,12.8,79.8
SAMPLE45,RB Player 21,RB,FA,12,107.7,52.2,78.0
SAMPLE204,DEF Player 6,DEF,FA,12,107.3,18.0,89.7
SAMPLE44,RB Player 20,RB,FA,14,104.8,51.3,98.5
SAMPLE185,K Player 7,K,FA,8,104.3,14.2,97.6
SAMPLE184,K Player 6,K,FA,7,103.1,13.5,78.6
SAMPLE105,WR Player 21,WR,FA,14,102.3,45.0,99.6
SAMPLE166,TE Player 12,TE,FA,12,102.0,38.5,83.0
SAMPLE205,DEF Player 7,DEF,FA,9,101.4,19.0,82.5
SAMPLE104,WR Player 20,WR,FA,5,99.8,44.3,93.3
SAMPLE47,RB Player 23,RB,FA,5,99.5,54.1,85.4
SAMPLE167,TE Player 13,TE,FA,8,98.9,40.0,102.5
SAMPLE186,K Player 8,K,FA,12,98.5,15.0,87.7
SAMPLE106,WR Player 22,WR,FA,6,98.0,45.7,101.4
SAMPLE46,RB Player 22,RB,FA,7,96.7,53.2,97.6
SAMPLE187,K Player 9,K,FA,6,95.8,15.8,95.3
SAMPLE48,RB Player 24,RB,FA,11,95.1,55.0,92.1
SAMPLE168,TE Player 14,TE,FA,7,94.4,41.4,106.4
SAMPLE206,DEF Player 8,DEF,FA,9,94.0,20.0,104.9
SAMPLE169,TE Player 15,TE,FA,14,92.7,42.9,98.4
SAMPLE108,WR Player 24,WR,FA,10,91.4,47.1,105.5
SAMPLE207,DEF Player 9,DEF,FA,12,91.3,21.0,94.3
SAMPLE189,K Player 11,K,FA,8,91.0,17.2,102.0
SAMPLE208,DEF Player 10,DEF,FA,12,89.9,22.0,103.6
SAMPLE107,WR Player 23,WR,FA,6,89.6,46.4,105.3
SAMPLE210,DEF Player 12,DEF,FA,9,87.9,24.0,115.4
SAMPLE188,K Player 10,K,FA,10,87.7,16.5,111.9
SAMPLE171,TE Player 17,TE,FA,14,87.6,45.8,98.6
SAMPLE49,RB Player 25,RB,FA,11,86.7,55.9,108.7
SAMPLE170,TE Player 16,TE,FA,10,86.7,44.3,122.1
SAMPLE209,DEF Player 11,DEF,FA,12,86.3,23.0,135.2
SAMPLE191,K Player 13,K,FA,12,85.5,18.8,109.6
SAMPLE190,K Player 12,K,FA,5,84.6,18.0,103.6
SAMPLE50,RB Player 26,RB,FA,9,84.4,56.8,133.6
SAMPLE109,WR Player 25,WR,FA,11,83.1,47.9,106.5
SAMPLE110,WR Player 26,WR,FA,8,83.1,48.6,128.6
SAMPLE111,WR Player 27,WR,FA,9,82.4,49.3,126.9
SAMPLE51,RB Player 27,RB,FA,6,81.4,57.8,126.7
SAMPLE53,RB Player 29,RB,FA,11,81.3,59.6,104.6
SAMPLE112,WR Player 28,WR,FA,9,81.1,50.0,119.9
SAMPLE172,TE Player 18,TE,FA,10,81.1,47.2,124.6
SAMPLE173,TE Player 19,TE,FA,10,80.1,48.7,132.9
SAMPLE211,DEF Player 13,DEF,FA,7,79.9,25.0,124.7
SAMPLE213,DEF Player 15,DEF,FA,14,79.7,27.0,118.8
SAMPLE174,TE Player 20,TE,FA,12,79.6,50.2,139.3
SAMPLE52,RB Player 28,RB,FA,5,77.7,58.7,126.9
SAMPLE212,DEF Player 14,DEF,FA,9,77.4,26.0,144.2
SAMPLE192,K Player 14,K,FA,8,77.0,19.5,130.4
SAMPLE113,WR Player 29,WR,FA,12,76.8,50.7,125.0
SAMPLE193,K Player 15,K,FA,11,76.3,20.2,121.5
SAMPLE54,RB Player 30,RB,FA,9,75.9,60.5,127.9
SAMPLE194,K Player 16,K,FA,13,75.5,21.0,119.2
SAMPLE175,TE Player 21,TE,FA,11,73.9,51.6,119.5
SAMPLE114,WR Player 30,WR,FA,10,73.3,51.4,128.9
SAMPLE55,RB Player 31,RB,FA,10,72.8,61.4,135.3
SAMPLE195,K Player 17,K,FA,5,72.3,21.8,146.5
SAMPLE115,WR Player 31,WR,FA,8,72.2,52.1,130.7
SAMPLE176,TE Player 22,TE,FA,12,71.6,53.1,120.9
SAMPLE56,RB Player 32,RB,FA,13,71.5,62.3,143.3
SAMPLE216,DEF Player 18,DEF,FA,5,70.9,30.0,149.5
SAMPLE57,RB Player 33,RB,FA,5,69.7,63.2,152.1
SAMPLE214,DEF Player 16,DEF,FA,10,69.6,28.0,138.6
SAMPLE177,TE Player 23,TE,FA,13,68.8,54.5,134.4
SAMPLE197,K Player 19,K,FA,5,68.6,23.2,156.5
SAMPLE215,DEF Player 17,DEF,FA,6,67.8,29.0,131.1
SAMPLE196,K Player 18,K,FA,5,67.5,22.5,141.7
SAMPLE178,TE Player 24,TE,FA,11,66.2,56.0,161.8
SAMPLE198,K Player 20,K,FA,10,65.5,24.0,155.0
SAMPLE218,DEF Player 20,DEF,FA,11,65.4,32.0,140.6
SAMPLE116,WR Player 32,WR,FA,6,65.3,52.9,141.4
SAMPLE117,WR Player 33,WR,FA,13,63.2,53.6,153.4
SAMPLE217,DEF Player 19,DEF,FA,5,62.8,31.0,145.4
SAMPLE59,RB Player 35,RB,FA,9,62.7,65.1,168.0
SAMPLE58,RB Player 34,RB,FA,8,62.3,64.2,152.9
SAMPLE120,WR Player 36,WR,FA,5,60.9,55.7,181.7
SAMPLE118,WR Player 34,WR,FA,14,60.3,54.3,187.9
SAMPLE119,WR Player 35,WR,FA,7,59.2,55.0,152.5
SAMPLE60,RB Player 36,RB,FA,14,58.9,66.0,161.9
SAMPLE61,RB Player 37,RB,FA,11,58.9,66.9,178.6
SAMPLE121,WR Player 37,WR,FA,14,56.9,56.4,156.3
SAMPLE63,RB Player 39,RB,FA,13,56.4,68.8,159.4
SAMPLE64,RB Player 40,RB,FA,6,56.3,69.7,156.5
SAMPLE62,RB Player 38,RB,FA,10,56.0,67.8,156.5
SAMPLE122,WR Player 38,WR,FA,12,54.0,57.1,164.2
SAMPLE65,RB Player 41,RB,FA,5,52.9,70.6,172.9
SAMPLE123,WR Player 39,WR,FA,8,52.2,57.9,166.4
SAMPLE124,WR Player 40,WR,FA,12,52.1,58.6,175.8
SAMPLE125,WR Player 41,WR,FA,12,50.7,59.3,177.2
SAMPLE66,RB Player 42,RB,FA,11,45.5,71.5,154.0
SAMPLE67,RB Player 43,RB,FA,6,45.5,72.4,173.2
SAMPLE126,WR Player 42,WR,FA,6,44.7,60.0,197.4
SAMPLE129,WR Player 45,WR,FA,6,44.4,62.1,168.6
SAMPLE70,RB Player 46,RB,FA,8,44.0,75.2,194.5
SAMPLE69,RB Player 45,RB,FA,8,43.8,74.2,157.2
SAMPLE127,WR Player 43,WR,FA,14,43.6,60.7,186.8
SAMPLE68,RB Player 44,RB,FA,10,43.5,73.3,166.3
SAMPLE128,WR Player 44,WR,FA,8,41.7,61.4,199.4
SAMPLE131,WR Player 47,WR,FA,6,39.9,63.6,163.1
SAMPLE130,WR Player 46,WR,FA,8,38.9,62.9,203.7
SAMPLE134,WR Player 50,WR,FA,11,38.5,65.7,164.1
SAMPLE76,RB Player 52,RB,FA,13,38.3,80.7,177.2
SAMPLE71,RB Player 47,RB,FA,6,37.3,76.1,190.3
SAMPLE133,WR Player 49,WR,FA,12,37.3,65.0,180.0
SAMPLE72,RB Player 48,RB,FA,8,36.6,77.0,184.6
SAMPLE73,RB Player 49,RB,FA,6,36.1,77.9,179.1
SAMPLE78,RB Player 54,RB,FA,5,35.6,82.5,169.8
SAMPLE132,WR Player 48,WR,FA,10,35.4,64.3,163.9
SAMPLE137,WR Player 53,WR,FA,14,35.4,67.9,197.1
SAMPLE74,RB Player 50,RB,FA,7,34.2,78.8,163.5
SAMPLE135,WR Player 51,WR,FA,9,34.2,66.4,208.6
SAMPLE138,WR Player 54,WR,FA,7,32.9,68.6,176.9
SAMPLE75,RB Player 51,RB,FA,14,32.1,79.8,210.4
SAMPLE81,RB Player 57,RB,FA,8,30.8,85.2,173.9
SAMPLE136,WR Player 52,WR,FA,6,30.7,67.1,236.7
SAMPLE77,RB Player 53,RB,FA,7,30.6,81.6,178.1
SAMPLE80,RB Player 56,RB,FA,11,30.2,84.3,179.1
SAMPLE139,WR Player 55,WR,FA,9,30.0,69.3,197.1
SAMPLE143,WR Player 59,WR,FA,7,29.2,72.1,213.4
SAMPLE140,WR Player 56,WR,FA,6,28.5,70.0,179.7
SAMPLE79,RB Player 55,RB,FA,12,27.4,83.4,218.6
SAMPLE141,WR Player 57,WR,FA,13,27.2,70.7,192.7
SAMPLE82,RB Player 58,RB,FA,8,26.6,86.2,206.2
SAMPLE142,WR Player 58,WR,FA,5,26.6,71.4,221.8
SAMPLE144,WR Player 60,WR,FA,10,25.8,72.9,211.1
SAMPLE145,WR Player 61,WR,FA,12,25.0,73.6,216.6
SAMPLE149,WR Player 65,WR,FA,11,24.6,76.4,207.5
SAMPLE84,RB Player 60,RB,FA,11,24.4,88.0,201.1
SAMPLE152,WR Player 68,WR,FA,8,23.9,78.6,230.9
SAMPLE83,RB Player 59,RB,FA,5,23.4,87.1,237.5
SAMPLE146,WR Player 62,WR,FA,14,23.1,74.3,209.5
SAMPLE148,WR Player 64,WR,FA,10,22.8,75.7,222.9
SAMPLE150,WR Player 66,WR,FA,5,21.7,77.1,183.3
SAMPLE147,WR Player 63,WR,FA,14,21.1,75.0,190.1
SAMPLE153,WR Player 69,WR,FA,13,20.7,79.3,233.5
SAMPLE151,WR Player 67,WR,FA,10,18.9,77.9,212.0
SAMPLE154,WR Player 70,WR,FA,14,16.5,80.0,212.8
